id,target
46,1
47,0
51,1
58,0
60,1
69,0
70,0
72,1
75,0
87,1
90,1
94,1
99,1
106,1
108,0
111,0
115,0
122,1
124,1
125,0
127,0
142,0
147,0
148,0
150,0
152,1
154,0
155,1
166,0
167,0
169,0
177,1
181,1
186,1
188,0
189,0
192,0
200,0
202,1
214,0
223,0
224,1
228,0
230,0
233,1
239,0
250,0
255,0
257,0
259,1
275,0
278,1
282,1
284,1
286,0
292,0
295,0
304,1
305,1
306,0
325,0
342,0
343,1
357,0
359,1
362,0
366,0
367,1
369,1
373,1
377,1
378,1
379,1
382,1
388,1
391,1
399,1
403,1
405,1
411,0
414,1
416,0
425,1
433,1
434,1
439,1
449,0
458,1
460,0
488,0
497,0
500,1
507,1
510,1
525,0
537,1
539,0
545,0
548,0
553,0
554,0
555,0
557,0
562,0
566,1
572,0
582,0
587,0
591,1
593,1
596,0
602,0
605,1
610,0
616,0
618,0
620,1
626,0
627,1
629,0
632,0
639,0
645,0
648,0
650,0
666,1
668,0
678,1
692,0
693,0
694,1
695,1
696,1
698,0
703,0
707,0
708,0
711,0
715,0
718,0
722,0
723,0
733,0
741,0
743,1
747,0
757,1
764,0
768,0
771,1
772,0
776,1
780,0
785,0
789,0
813,0
816,0
824,1
825,0
827,0
839,0
844,0
847,0
850,0
855,0
861,0
862,0
865,0
879,1
880,0
887,0
900,1
901,0
913,1
914,1
917,0
925,1
933,1
937,0
943,0
949,0
950,0
954,0
969,0
970,0
973,0
975,0
980,1
988,1
989,0
995,1
1000,0
1011,1
1012,0
1013,1
1014,0
1016,0
1019,1
1025,1
1027,1
1028,0
1030,1
1033,1
1034,1
1046,1
1047,1
1053,1
1055,1
1056,1
1059,1
1060,0
1064,1
1068,0
1076,0
1086,1
1087,1
1089,1
1092,0
1096,1
1100,1
1101,1
1111,1
1115,1
1121,0
1125,0
1127,1
1131,0
1135,0
1137,0
1144,0
1147,0
1148,0
1150,0
1159,1
1161,0
1163,0
1165,0
1169,1
1171,0
1172,1
1176,1
1184,0
1186,1
1187,1
1192,1
1197,0
1200,0
1205,1
1210,1
1216,1
1220,1
1233,0
1248,1
1255,0
1256,0
1257,0
1258,0
1260,0
1261,0
1274,0
1281,1
1285,1
1292,0
1295,0
1306,1
1310,0
1311,0
1325,1
1329,1
1330,0
1333,1
1339,1
1342,1
1355,1
1359,1
1364,1
1373,0
1377,1
1386,1
1387,0
1397,0
1403,1
1404,1
1410,1
1416,1
1423,1
1424,1
1426,0
1427,1
1428,0
1430,0
1434,1
1435,0
1437,0
1438,0
1442,1
1446,0
1451,1
1461,1
1462,0
1465,0
1469,1
1471,0
1476,1
1489,0
1490,0
1492,0
1512,1
1529,1
1541,1
1542,1
1548,1
1550,0
1551,0
1563,0
1564,1
1565,0
1566,1
1584,1
1586,0
1598,0
1606,1
1612,0
1620,1
1624,1
1630,1
1635,0
1640,0
1641,0
1642,1
1655,0
1656,0
1659,0
1664,0
1668,0
1674,1
1678,0
1681,0
1682,1
